vx	vy	vz
9.49512546667725E+03	-8.61829825794134E+02	1.15430903776369E+04
-1.2146492225916E+03	-5.54265049691939E+03	-8.14904074276858E+03
1.22324008472584E+04	-1.98027376798408E+03	8.7802481574433E+03
1.27531027767995E+04	5.82550983707718E+02	-1.22301050779398E+04
5.66074873877549E+03	-4.10821245911329E+03	-8.29209079575796E+03
4.74333380741444E+03	2.15549482138547E+04	-1.10910566355505E+04
3.1265718024182E+02	3.57843021980424E+03	-4.19563388135926E+03
5.32020457231314E+03	-4.83749759005119E+03	5.70169357358672E+03
1.05076762903377E+04	7.05789986504347E+03	1.47606864985893E+03
8.20693229382783E+03	-1.01984880532634E+04	-3.3721980775273E+03
-4.35949965609979E+03	1.37817175218716E+04	2.34831540214013E+03
-5.50485743795126E+03	1.09144837487686E+03	-4.43080822720198E+03
-4.6590617121647E+03	-3.01724909428624E+03	-3.85070991461904E+03
1.10541623611696E+04	-1.14100353477121E+04	-9.0458182207976E+03
-1.05510459144564E+04	3.59056183780357E+03	-9.40157031691358E+02
9.39054587290404E+03	1.09156432006509E+04	1.07068334302494E+04
6.03166507920219E+03	6.62643583791585E+03	5.49474987371487E+03
-1.13486626437693E+04	-1.75692402065685E+03	1.26496137137746E+04
5.53197649682232E+02	-1.02649701992929E+03	-4.8029460458142E+03
8.49990996959239E+03	3.50982622306355E+03	-5.1767614445214E+03
-4.77177710290349E+03	3.5796739070182E+03	-5.05586174104393E+02
1.36864460535284E+04	4.59236938210482E+03	-1.83848225189265E+03
-2.17752152289812E+03	-2.68346789540929E+03	2.76711323995768E+03
1.08281245562037E+04	-1.49824312250386E+04	-4.85262250954124E+03
-3.49686656434271E+03	-6.20687800760807E+03	6.49818003998391E+03
1.58000315250357E+03	-1.43616279628238E+03	3.68996328117386E+03
-5.72943995315916E+03	1.42251332051529E+04	-3.69758235370524E+03
9.61298011146684E+03	-6.87714955825278E+03	-6.47952853356549E+03
7.66648672650581E+03	-9.05869657970191E+03	-4.60939693652071E+03
-1.54123612415187E+04	4.64362253034952E+03	1.5650316660298E+04
-6.86877733359535E+02	-1.34258878962622E+04	-1.0511978210614E+04
-5.95239812385001E+03	3.05716430387922E+03	7.80773094918824E+03
6.90688877399746E+02	8.74056382134094E+03	4.86163396502062E+03
6.91236119065746E+03	7.21812022344812E+03	-1.66353013910974E+03
6.66282681412981E+03	8.77758597438822E+03	1.05575000309671E+04
8.70061831058409E+03	1.63033625594178E+04	1.05938362367851E+04
-1.05987574438504E+04	8.6996791355325E+03	6.69728474596617E+03
1.79851516097607E+03	-2.66469596092157E+03	-4.99192927315482E+03
-4.67738754126048E+03	-6.73692589634146E+03	8.15113618707976E+03
2.26579981863117E+03	-7.38666134182973E+03	-7.3202458362694E+03
-1.37052860765736E+04	7.34144855612957E+03	1.04687513629396E+04
-9.4121468923547E+03	-4.04021212432286E+03	5.35320686008062E+03
-8.37649958292963E+03	-1.46555737285824E+03	-2.21491745671386E+03
9.3348736923109E+03	3.50541980332522E+03	-1.7994381397769E+03
6.28893556730866E+00	-3.9339034746428E+03	-8.20899836983697E+03
8.62188772875569E+01	5.1097023152829E+03	-2.93247656588203E+03
1.55653905330941E+03	1.83021195612576E+03	3.60802167602754E+03
-1.60144099887168E+03	-5.07008829543881E+03	-3.49145810511905E+02
-5.25342180466813E+03	8.40768875018836E+03	1.75100348668366E+04
-3.91036781296074E+03	1.08236132520037E+03	5.63048445735E+03
5.14434287888548E+02	1.16234751712417E+04	1.89309219731557E+02
-2.39197875329477E+02	1.5258119737975E+03	-8.81044928233861E+02
2.33133535167079E+03	-1.11877345206683E+04	1.06565910191732E+04
-5.84023545091985E+03	5.02578870884413E+02	1.33833967724148E+03
-5.672700570317E+03	6.12715066944005E+03	-1.48673389020969E+03
-9.78617606294948E+02	6.12278723427822E+03	-1.91780562638307E+04
3.55368359318701E+03	3.62659768505936E+03	4.95470279115816E+03
-6.30958295127812E+03	7.06462018614428E+03	3.64997595653027E+03
1.98175040736636E+03	-2.82641751827136E+03	-3.80978732384802E+03
-7.0062424676994E+03	-3.15046352009528E+03	8.05952687591245E+03
1.93459599581591E+03	-2.09929097562493E+03	-1.09871444852386E+04
-2.05523940530941E+03	-3.90493909616767E+03	-2.04801058796016E+02
3.4035521749156E+03	-8.63960627987478E+03	6.75981607840194E+03
4.72068367325043E+03	7.89869232955709E+03	-4.10323690438326E+03
-8.4073083532105E+03	2.14774574129772E+03	-7.28880814455221E+03
-4.76840106139672E+02	6.7058620205291E+02	-5.80279958075433E+03
-1.156553120317E+04	-5.38655619241734E+03	5.2836316628684E+03
4.89667707096773E+03	-5.17417836509717E+03	-1.07706102501677E+04
-9.76649255596964E+03	-2.90352690360085E+03	6.54982651493466E+03
2.58921102070389E+02	-1.24975374461053E+03	1.44073187552967E+03
5.67714218715749E+03	-4.6228024160874E+02	9.79540736270357E+03
2.43142003004533E+03	9.39239950995603E+03	6.87826684577088E+03
-2.05139416618128E+03	-3.87318868237009E+02	1.16703735391945E+04
1.19587589985986E+03	6.64314878136505E+03	2.60502578595424E+03
-2.19725588175665E+03	-6.30928982729864E+02	1.00079094762689E+04
-5.39080186611775E+03	2.293605867671E+02	-4.12301946956529E+03
-1.54303703425185E+04	-5.34253545954502E+03	-8.17100214811133E+03
-8.00989325920187E+03	-5.22600288713543E+03	-5.75469839869653E+03
-3.0334467692694E+03	-4.37772075192975E+03	-6.70295122710206E+03
4.48363672440959E+03	1.58386296979331E+02	-4.31105799608182E+03
7.45590647760968E+03	3.04842045376794E+03	1.42381099466276E+04
3.8381318052483E+02	-8.24266988842691E+03	1.74608040508211E+03
-3.09678055980403E+02	6.32245293436009E+03	-4.91833992409653E+03
7.46912383807754E+03	2.42493868038725E+03	2.79749373706688E+03
2.56531527568732E+03	8.52585884810773E+03	-1.38151213093796E+03
8.19320300297712E+03	4.9441300618957E+03	6.39480614262655E+03
-1.21493255075089E+04	9.0200213527925E+03	6.41436964474213E+03
